"","type","variable","obs","pred"
"7327...17936","calibration","P retention",31,29.4179269453573
"4073...17937","calibration","P retention",26,26.5174894748124
"1422...17938","calibration","P retention",20.765245118,12.2323131480247
"5934...17939","calibration","P retention",71,72.5180551468637
"1081","calibration","P retention",46,49.1581211601048
"1082...17941","calibration","P retention",51,55.1050606869233
"5935...17942","calibration","P retention",76,73.1641858279118
"7570...17943","calibration","P retention",33,30.9742995121274
"1877","calibration","P retention",17,16.0754708015166
"4048...17945","calibration","P retention",22,19.4647426682226
"1592...17946","calibration","P retention",16.894885219,12.178743475931
"7326...17947","calibration","P retention",29,28.2833157805655
"1764...17948","calibration","P retention",16.505050505,19.3644319431991
"4158...17949","calibration","P retention",87,69.5308378898053
"732...17950","calibration","P retention",54,67.6314447327616
"6093...17951","calibration","P retention",20,18.5565179048671
"1856...17952","calibration","P retention",24.96969697,18.2726527548276
"4507...17953","calibration","P retention",60,48.5714872631644
"4289...17954","calibration","P retention",98,91.4631124540664
"3969...17955","calibration","P retention",29,19.490503115429
"7564...17956","calibration","P retention",29,28.9707349544621
"8417...17957","calibration","P retention",22,31.9005283921304
"6568...17958","calibration","P retention",85,66.7254042220287
"7818...17959","calibration","P retention",18,13.5698986831098
"1418...17960","calibration","P retention",12.694300518,16.1246937135084
"1110...17961","calibration","P retention",36,38.9293770452125
"858...17962","calibration","P retention",19,20.5879025196383
"1646...17963","calibration","P retention",45,46.0002184352305
"4800...17964","calibration","P retention",95,86.5552823185948
"7896...17965","calibration","P retention",12,9.93008934165725
"8352...17966","calibration","P retention",52,51.9177828822437
"1678...17967","calibration","P retention",30,25.6294451116272
"8493...17968","calibration","P retention",34,28.2509966094313
"6424...17969","calibration","P retention",44,38.1553478144143
"1644...17970","calibration","P retention",43,44.9824475948641
"3796...17971","calibration","P retention",35,33.2402955685468
"5636...17972","calibration","P retention",90,76.5573919344415
"4004...17973","calibration","P retention",18,19.9942353854945
"4799...17974","calibration","P retention",84,70.9776701920341
"6370...17975","calibration","P retention",57,60.8161418695625
"8246...17976","calibration","P retention",64,56.4558502636473
"8441...17977","calibration","P retention",24,26.5133438995302
"1850...17978","calibration","P retention",19.373737374,12.6028859940799
"1152...17979","calibration","P retention",22,19.1451714609454
"2034...17980","calibration","P retention",56,58.3783781359262
"1058...17981","calibration","P retention",37,43.9655979066735
"1046...17982","calibration","P retention",52,52.88605625306
"6028...17983","calibration","P retention",35,36.624015808732
"4138...17984","calibration","P retention",37,45.2631410501713
"8303...17985","calibration","P retention",67,63.314224771485
"7540...17986","calibration","P retention",35,39.4763163363226
"730...17987","calibration","P retention",42,50.6809964588943
"4985...17988","calibration","P retention",92,69.4842302686306
"1634...17989","calibration","P retention",65,59.0051054624447
"7550...17990","calibration","P retention",33,33.5422987274915
"445...17991","calibration","P retention",24,25.6691144837866
"5967...17992","calibration","P retention",94,76.4713852459653
"3918...17993","calibration","P retention",72,78.3181082922433
"7549...17994","calibration","P retention",47,55.4538570678015
"4511...17995","calibration","P retention",64,64.2429365514762
"1056...17996","calibration","P retention",33,40.7622602145763
"1680...17997","calibration","P retention",32,30.3905486573327
"1522...17998","calibration","P retention",23.761578735,22.7472056212369
"1300...17999","calibration","P retention",29.391339869,27.8979610200776
"4003...18000","calibration","P retention",8,13.4841968021784
"1462...18001","calibration","P retention",14.546868923,13.6308287958736
"7875...18002","calibration","P retention",33,33.0215645607421
"870...18003","calibration","P retention",11,9.96489149561777
"1794...18004","calibration","P retention",28.96969697,31.7612038701296
"2008...18005","calibration","P retention",58,59.7473384426162
"1590...18006","calibration","P retention",12.182843335,8.67271370753859
"5936...18007","calibration","P retention",76,72.2819081873312
"8248...18008","calibration","P retention",65,55.6568750179204
"8538...18009","calibration","P retention",25,23.9331666679999
"2022...18010","calibration","P retention",71,67.3413963748536
"1600...18011","calibration","P retention",22.754732179,15.6283296515437
"4572...18012","calibration","P retention",99,102.8679877231
"2018...18013","calibration","P retention",33,37.9452840354298
"6918...18014","calibration","P retention",38,39.2977981596817
"6480...18015","calibration","P retention",24,26.9254485625178
"4820...18016","calibration","P retention",95,93.6285019193095
"3688...18017","calibration","P retention",8,16.9218881818799
"1792...18018","calibration","P retention",28.707070707,29.0505346548933
"7546...18019","calibration","P retention",28,32.4746434927184
"3515...18020","calibration","P retention",35,42.4549752374509
"2006...18021","calibration","P retention",51,52.9303158125016
"4009...18022","calibration","P retention",10,8.46503027773714
"4157...18023","calibration","P retention",85,73.559632636041
"8203...18024","calibration","P retention",17,16.7436315549764
"1090...18025","calibration","P retention",47,51.3372625041065
"6478...18026","calibration","P retention",26,24.758477849302
"3805...18027","calibration","P retention",35,38.6939783355513
"7358...18028","calibration","P retention",18,18.8650226197957
"5920...18029","calibration","P retention",19,20.9328301440101
"1770...18030","calibration","P retention",29.333333333,33.1759696219903
"882...18031","calibration","P retention",14,13.6253128308705
"1332...18032","calibration","P retention",21,22.5644378046262
"1122...18033","calibration","P retention",34,37.1584975779187
"7541...18034","calibration","P retention",46,49.7335660439247
"1732...18035","calibration","P retention",34,29.4749449985743
"7293...18036","calibration","P retention",68,59.7365343885841
"848...18037","calibration","P retention",19,23.8044054816049
"7373...18038","calibration","P retention",11,10.5044724260004
"7547...18039","calibration","P retention",21,25.9774089174879
"1570...18040","calibration","P retention",29.561014901,30.5784993259448
"6982...18041","calibration","P retention",58,56.4888104105891
"8002...18042","calibration","P retention",42,41.167036135967
"692...18043","calibration","P retention",32,42.1217890402485
"6567...18044","calibration","P retention",90,73.5717985894265
"1784...18045","calibration","P retention",26.828282828,24.1122579900779
"1996...18046","calibration","P retention",57,56.0759197378657
"1132...18047","calibration","P retention",29,28.6676082633486
"4134...18048","calibration","P retention",41,43.4587140793817
"1619","calibration","P retention",33,36.6426088690492
"7835...18050","calibration","P retention",24,21.2516596508057
"1454...18051","calibration","P retention",20.400622326,16.0487129203589
"1568...18052","calibration","P retention",24.969794603,25.3197575270773
"8528...18053","calibration","P retention",57,52.5144387610402
"2000...18054","calibration","P retention",55,68.0137554578341
"1798...18055","calibration","P retention",26.585858586,29.410512373402
"1464...18056","calibration","P retention",17.522364839,13.3092294444688
"435...18057","calibration","P retention",17,31.6864471246117
"8527...18058","calibration","P retention",41,38.9101282778562
"708...18059","calibration","P retention",32,49.1043538212684
"8414...18060","calibration","P retention",23,20.7476910289409
"1574...18061","calibration","P retention",22.452678212,25.4864770905786
"7543...18062","calibration","P retention",60,62.2578601213487
"5929...18063","calibration","P retention",76,68.7289193974199
