"","type","variable","obs","pred"
"4754...7568","calibration","clay",12.5500002,29.411200643908
"7823...7569","calibration","clay",41,35.6534936118437
"6745...7570","calibration","clay",17.2099991,13.9046733065033
"5391...7571","calibration","clay",5.19000006,4.28987930014554
"1977...7572","calibration","clay",1.98019801980198,2.63634762431285
"3689...7573","calibration","clay",25,28.6745041581758
"6240...7574","calibration","clay",21.8899994,22.2445459538748
"6454...7575","calibration","clay",72.6399994,63.1826124817501
"4435...7576","calibration","clay",31,26.0274159913758
"7772...7577","calibration","clay",34,32.3139082554692
"6190...7578","calibration","clay",18.6399994,20.9908166805119
"1987...7579","calibration","clay",4,3.20204075843035
"4797...7580","calibration","clay",58,72.8102618974875
"4347...7581","calibration","clay",53,51.5230433314489
"4562...7582","calibration","clay",40.1800003,42.2332037772594
"7214...7583","calibration","clay",2.0999999,1.30760129714952
"4608...7584","calibration","clay",34,34.7164793843846
"6844...7585","calibration","clay",12,18.4729711176939
"8111...7586","calibration","clay",29,25.1200081751112
"3742...7587","calibration","clay",8,2.58612502312288
"4437...7588","calibration","clay",22,23.3567778245952
"6506...7589","calibration","clay",6,5.05719175712428
"6183...7590","calibration","clay",35,37.0718073160379
"4180...7591","calibration","clay",36,37.8838839343622
"1969...7592","calibration","clay",2.97029702970297,2.38583478678859
"6525...7593","calibration","clay",27.0200005,27.8802926156205
"5543...7594","calibration","clay",34.5299988,33.282566305667
"6051...7595","calibration","clay",25.9599991,26.2780948044657
"6504...7596","calibration","clay",8,8.91080324472254
"5435...7597","calibration","clay",9,14.3816182320836
"4814...7598","calibration","clay",34,27.2341705215564
"7809...7599","calibration","clay",37,33.1169408287461
"7357...7600","calibration","clay",15,16.6149501273781
"4272...7601","calibration","clay",11,16.4128821248067
"8458...7602","calibration","clay",11,7.53056834829707
"3582...7603","calibration","clay",0.01,21.319551752621
"5058...7604","calibration","clay",19.1499996,18.7789609091428
"6192...7605","calibration","clay",19.1900005,19.3502584231051
"8287...7606","calibration","clay",36,41.3397424954825
"5066...7607","calibration","clay",6.17999983,7.2251140810953
"5013...7608","calibration","clay",26,28.354488010388
"3715...7609","calibration","clay",22,17.0981811469577
"8231...7610","calibration","clay",16,17.7444916193132
"3553...7611","calibration","clay",11,10.2087169996956
"7536...7612","calibration","clay",11,7.86269831069288
"5473...7613","calibration","clay",17,22.0292381324464
"5546...7614","calibration","clay",32.5900002,23.9055229958955
"6634...7615","calibration","clay",28.1800003,18.6254202937892
"4736...7616","calibration","clay",22.8299999,32.3070871424194
"5118...7617","calibration","clay",14.1400003,9.06743661884171
"6752...7618","calibration","clay",3,0.393063881315811
"6535...7619","calibration","clay",5.13000011,5.37368780408928
"5734...7620","calibration","clay",35,36.34110029787
"4024...7621","calibration","clay",12,19.0048505844975
"8365...7622","calibration","clay",66,58.5114396879566
"3629...7623","calibration","clay",24,18.398796716847
"5448...7624","calibration","clay",13.1400003,12.4140848289774
"5120...7625","calibration","clay",40.0600014,37.0955906172044
"8286...7626","calibration","clay",42,47.4123745100335
"5127...7627","calibration","clay",45.2000008,42.5530094916651
"6462...7628","calibration","clay",28.8500004,62.7013959996096
"1979...7629","calibration","clay",2,2.10098646631768
"6180...7630","calibration","clay",38.6800003,32.3318839288859
"8523...7631","calibration","clay",37,35.7486408562018
"6158...7632","calibration","clay",26.5499992,28.8766621568747
"4021...7633","calibration","clay",27,26.4042849226297
"4995...7634","calibration","clay",39,40.3293917075782
"4283...7635","calibration","clay",7,9.18556482942953
"3747...7636","calibration","clay",3,0.936424456026288
"6460...7637","calibration","clay",70.4899979,69.5133083392699
"5476...7638","calibration","clay",25.8099995,31.8941281200958
"5015...7639","calibration","clay",27,28.5510452463846
"3719...7640","calibration","clay",47,43.8247048599989
"6079...7641","calibration","clay",32.9700012,36.0488698326881
"3572...7642","calibration","clay",21,28.8968597536615
"3949...7643","calibration","clay",3,4.25121378870536
"5735...7644","calibration","clay",40,35.2056363807503
"4560...7645","calibration","clay",36,36.9586912963325
"4271...7646","calibration","clay",25.7900009,28.4982932355871
"5627...7647","calibration","clay",30.7800007,29.324571413464
"4749...7648","calibration","clay",37.1699982,44.7135580394769
"4768...7649","calibration","clay",45.7000008,51.9096524550487
"1883...7650","calibration","clay",3.999600039996,2.56356767977733
"6195...7651","calibration","clay",16.9200001,18.9035737084582
"5823...7652","calibration","clay",13,12.8118729576656
"6168...7653","calibration","clay",34.6100006,24.4403837280934
"6088...7654","calibration","clay",44.7000008,37.856030385664
"4976...7655","calibration","clay",34,32.2314022934421
"4364...7656","calibration","clay",32.3499985,42.7682956656491
"6196...7657","calibration","clay",9.27999973,11.5385008469775
"5647...7658","calibration","clay",6.8499999,10.183438913185
"4089...7659","calibration","clay",2,-3.26114953943232
"8136...7660","calibration","clay",15,16.4854435561295
"8478...7661","calibration","clay",6,1.64381649906974
"5870...7662","calibration","clay",40.1100006,32.9558699529988
"7212...7663","calibration","clay",2.42000008,4.52684855477631
"4270...7664","calibration","clay",28,31.3771703650894
"8105...7665","calibration","clay",17,30.8607002638125
"3762...7666","calibration","clay",6.82999992,4.96625984902809
"8283...7667","calibration","clay",44,46.9045521599607
"6200...7668","calibration","clay",37.1399994,32.14164993667
"3568...7669","calibration","clay",5,21.0684641969324
"5544...7670","calibration","clay",32.7599983,33.1659680316589
"6597...7671","calibration","clay",35,32.7109706376668
"6411...7672","calibration","clay",20.7700005,21.0602300848194
"3965...7673","calibration","clay",50,42.3634623564732
"5438...7674","calibration","clay",28.5300007,34.9434681356002
"8126...7675","calibration","clay",31,24.6850518215216
"6845...7676","calibration","clay",12,13.8533897102599
"7842...7677","calibration","clay",32,26.131974525929
"5506...7678","calibration","clay",13.3999996,20.2519330352003
"8022...7679","calibration","clay",19,21.0097543240547
"6795...7680","calibration","clay",21.4099998,25.6274207135775
"3928...7681","calibration","clay",51,38.9478892068951
"5739...7682","calibration","clay",40,37.0667249361532
"5458...7683","calibration","clay",34.2700005,36.0136143065543
"8343...7684","calibration","clay",40,36.7916318942946
"4118...7685","calibration","clay",16.2000008,18.663709264854
"6280...7686","calibration","clay",3.4000001,3.34644708557719
"6193...7687","calibration","clay",17.5699997,19.1003047023723
"6201...7688","calibration","clay",34.1399994,29.9818554895593
"5587...7689","calibration","clay",24.2600002,28.9421496261334
"4029...7690","calibration","clay",17,19.7316740515877
"6272...7691","calibration","clay",4.19999981,1.01871347931004
"4179...7692","calibration","clay",32,39.3118751690767
"7209...7693","calibration","clay",3.52999997,2.40586441676111
"7521...7694","calibration","clay",12,12.4089710267002
"4282...7695","calibration","clay",6,5.08489967868825
"5498...7696","calibration","clay",31,29.6039814182524
"4175...7697","calibration","clay",44.7900009,44.6730380288079
"3906...7698","calibration","clay",4,11.2698702368294
"4220...7699","calibration","clay",22,22.7378902093989
"4088...7700","calibration","clay",8,7.20091654319656
"3610...7701","calibration","clay",9,14.1684505071736
"8473...7702","calibration","clay",30,23.4310523425954
"8311...7703","calibration","clay",6,7.16688023470075
"4518...7704","calibration","clay",52,44.3915100479314
"4782...7705","calibration","clay",53,46.9019374580023
"4372...7706","calibration","clay",13.79,17.0768744845535
"8537...7707","calibration","clay",53,54.643180951106
"3903...7708","calibration","clay",7,3.95580214392269
"5648...7709","calibration","clay",8.46000004,10.2437918602748
"5525...7710","calibration","clay",31.7399998,29.7131314825219
"3943...7711","calibration","clay",1.63999999,3.60626821993664
"6166...7712","calibration","clay",28.2999992,29.8803467330821
"5863...7713","calibration","clay",8.23999977,7.78838440571119
"3598...7714","calibration","clay",4,3.92152824299626
"5452...7715","calibration","clay",13.1599998,19.031094784549
"3661...7716","calibration","clay",9,9.49770798849971
"3798...7717","calibration","clay",10,7.42351697908876
"6174...7718","calibration","clay",35.3800011,42.4737192904325
"3697...7719","calibration","clay",8,17.0189611212981
"5988...7720","calibration","clay",28.2900009,29.0516331719272
"8536...7721","calibration","clay",52,54.6378055039189
"5450...7722","calibration","clay",18,9.68275723699116
"5491...7723","calibration","clay",16,18.1812144957945
"3930...7724","calibration","clay",25.0400009,24.2337604073636
"4996...7725","calibration","clay",50,37.2644605574732
"6349...7726","calibration","clay",7.8499999,18.0180167564242
"8065...7727","calibration","clay",14,11.3197220357191
"3920...7728","calibration","clay",0.01,0.327656716481712
"7526...7729","calibration","clay",12,4.82581400007106
"4296...7730","calibration","clay",5.28000021,2.64009014366845
"7774...7731","calibration","clay",34,29.1420401845738
"6498...7732","calibration","clay",41.7799988,42.6725259094031
"4143...7733","calibration","clay",5,0.61567063293549
"6058...7734","calibration","clay",38.5200005,34.528856416062
"4811...7735","calibration","clay",36.1300011,32.5393389733609
"5554...7736","calibration","clay",33.4799995,30.577759827653
"6179...7737","calibration","clay",37.5299988,31.4769885066351
"4117...7738","calibration","clay",7,19.782567531295
"6519...7739","calibration","clay",1,1.76614413895901
"6167...7740","calibration","clay",25.6000004,27.6733511638505
"5545...7741","calibration","clay",32.7900009,29.2284642841801
"5944...7742","calibration","clay",26.9699993,34.4966750709415
"6642...7743","calibration","clay",13.3599997,13.5938980403142
"6497...7744","calibration","clay",44.4199982,45.8267440794355
"4999...7745","calibration","clay",36,33.8476061145366
"6793...7746","calibration","clay",19.0599995,22.6639194456377
"4371...7747","calibration","clay",17.9599991,14.1655197406411
"8048...7748","calibration","clay",26,19.414559652866
"4124...7749","calibration","clay",12,17.8163455369289
"5010...7750","calibration","clay",35,32.5483635186557
"3714...7751","calibration","clay",24,23.5785939945461
"6241...7752","calibration","clay",29.7900009,29.3569057474929
"6057...7753","calibration","clay",15.6700001,32.8949380024403
"4521...7754","calibration","clay",51,47.2051708737766
"6243...7755","calibration","clay",25.4200001,29.5750028970386
"5962...7756","calibration","clay",59,49.6856936173853
"3790...7757","calibration","clay",12,11.4308134812827
"6811...7758","calibration","clay",61.0499992,59.9717162935549
"4986...7759","calibration","clay",44,32.0606595278313
"5456...7760","calibration","clay",23.5799999,29.6800993957333
"4759...7761","calibration","clay",35.7000008,40.6709716901966
"7530...7762","calibration","clay",7,3.51507131752463
"6264...7763","calibration","clay",13.3500004,16.044223733734
"6249...7764","calibration","clay",4.44999981,3.24344605732497
"5736...7765","calibration","clay",36,36.4799889693589
"4303...7766","calibration","clay",1.59000003,2.81531160212414
"4649...7767","calibration","clay",1,0.516653311470982
"7031...7768","calibration","clay",21.75,28.1407413900256
"4654...7769","calibration","clay",29,36.1124132985705
