"","type","variable","obs","pred"
"3296","calibration","carbon",1.09133306532663,0.984384838438532
"3518...3218","calibration","carbon",6.30000019,4.9944464772676
"3583...3219","calibration","carbon",5.4000001,5.78395739974013
"8040...3220","calibration","carbon",7.0999999,6.69278897166152
"8063...3221","calibration","carbon",0.36,0.391845658867137
"3161","calibration","carbon",5.27552494122457,5.33957539292352
"6813...3223","calibration","carbon",0.189999998,0.346458177162368
"5748...3224","calibration","carbon",3.0999999,3.3671007504653
"4456...3225","calibration","carbon",1.89999998,1.69522078006746
"4338...3226","calibration","carbon",1.29999995,1.729181487608
"4839...3227","calibration","carbon",1.20000005,1.13612570470096
"4838...3228","calibration","carbon",3.20000005,2.86022358460105
"3565...3229","calibration","carbon",0.600000024,0.710014616923838
"4635...3230","calibration","carbon",7.69999981,7.32840213019933
"7378...3231","calibration","carbon",0.0700000003,0.201599728149744
"8079...3232","calibration","carbon",1,1.04949738566079
"5081...3233","calibration","carbon",1.20000005,1.06714215534439
"2948","calibration","carbon",2.10043774545454,2.17136764064684
"3566...3235","calibration","carbon",3.5999999,3.60684165877012
"6714...3236","calibration","carbon",0.200000003,0.365066776412365
"6495...3237","calibration","carbon",7.30000019,6.08681283929172
"2874","calibration","carbon",0.499909648020113,0.478909804065792
"3839...3239","calibration","carbon",2,1.86933940684321
"3173","calibration","carbon",4.70878297549339,4.15756764186697
"6721...3241","calibration","carbon",0.200000003,0.27586842029802
"5096...3242","calibration","carbon",1,0.947495122129853
"3527...3243","calibration","carbon",6.0999999,6.15557581282365
"5441...3244","calibration","carbon",0.600000024,0.503745578385716
"3271","calibration","carbon",0.959917954385613,0.775335239077316
"3050","calibration","carbon",1.52663400488401,1.45799282602312
"7152...3247","calibration","carbon",0.379999995,0.670887078458304
"3567...3248","calibration","carbon",3.79999995,3.21947268907482
"3845...3249","calibration","carbon",0.5,0.713288898609672
"4656...3250","calibration","carbon",5.30000019,5.11132264869342
"6291...3251","calibration","carbon",1.70000005,1.76299952359698
"6789...3252","calibration","carbon",0.200000003,0.286109783913768
"6865...3253","calibration","carbon",1.39999998,8.71463081180228
"3322","calibration","carbon",1.87533646537162,1.82664003492809
"3047","calibration","carbon",4.3850888548951,4.10194224944868
"5373...3256","calibration","carbon",1.79999995,1.49296916870059
"3299","calibration","carbon",7.58082339357429,6.89142790426463
"4917...3258","calibration","carbon",3.20000005,3.65780417614615
"4110...3259","calibration","carbon",0.400000006,0.487486611636308
"6884...3260","calibration","carbon",0.270000011,0.406897149604812
"3150","calibration","carbon",2.30760354887873,1.68089788070079
"5914...3262","calibration","carbon",1.20000005,1.18073535267627
"6760...3263","calibration","carbon",1.10000002,1.41309108068123
"3612...3264","calibration","carbon",4.4000001,3.43116261897319
"8038...3265","calibration","carbon",8.3,7.878812669717
"3766...3266","calibration","carbon",7.19999981,8.20690662477599
"6726...3267","calibration","carbon",0.200000003,0.377233835601628
"3172","calibration","carbon",5.02249050958392,4.2071943168627
"3606...3269","calibration","carbon",4.5,4.37126099213666
"5695...3270","calibration","carbon",2.9000001,2.66651419989507
"5577...3271","calibration","carbon",3.9000001,3.91355219353655
"4738...3272","calibration","carbon",3.70000005,4.08263771587214
"3860...3273","calibration","carbon",0.100000001,0.215160078785819
"2830","calibration","carbon",1.6754040047739,1.6532915449794
"4804...3275","calibration","carbon",1.79999995,1.71969420154615
"4101...3276","calibration","carbon",0.400000006,0.461114233651076
"5917...3277","calibration","carbon",2.5999999,2.67354525800829
"605","calibration","carbon",6.86,6.66221322000061
"3665...3279","calibration","carbon",3.20000005,2.89330985953148
"4796...3280","calibration","carbon",12.1999998,10.1472872830439
"6151...3281","calibration","carbon",0.800000012,0.878742230023003
"4630...3282","calibration","carbon",8.5,8.7709841619035
"6715...3283","calibration","carbon",0.100000001,0.343665306410119
"3611...3284","calibration","carbon",5.4000001,3.61302181017533
"7333...3285","calibration","carbon",0.349999994,0.260149618373852
"3621...3286","calibration","carbon",1.20000005,1.09870857798068
"8092...3287","calibration","carbon",0.85,1.03216129253476
"4316...3288","calibration","carbon",7.30000019,7.96529941618745
"2831","calibration","carbon",1.48139486906819,1.47884489866223
"3320","calibration","carbon",2.54701527794973,2.53624219644102
"580","calibration","carbon",7.34,7.51261993141829
"3535...3292","calibration","carbon",8,7.69765245621717
"6043...3293","calibration","carbon",1.29999995,1.00239731443783
"4184...3294","calibration","carbon",0.300000012,0.462840519272923
"3133","calibration","carbon",1.13092464248705,1.28596168299207
"3667...3296","calibration","carbon",0.300000012,0.329188136446344
"7831...3297","calibration","carbon",9.89999962,9.285455160118
"7335...3298","calibration","carbon",0.219999999,0.246870787607248
"6187...3299","calibration","carbon",0.100000001,0.450172044709101
"5978...3300","calibration","carbon",0.600000024,0.431911644368284
"3761...3301","calibration","carbon",6.80000019,8.49013635213029
"5556...3302","calibration","carbon",0.5,0.802369573982936
"8065...3303","calibration","carbon",0.09,0.187773839141996
"3526...3304","calibration","carbon",7.0999999,6.90977972266003
"3690...3305","calibration","carbon",0.200000003,0.216642272851839
"3675...3306","calibration","carbon",0.899999976,1.07569300187617
"6598...3307","calibration","carbon",0.800000012,1.10129446635558
"5743...3308","calibration","carbon",2.20000005,0.398869372887002
"5991...3309","calibration","carbon",0.800000012,0.781946521399728
"7644...3310","calibration","carbon",1.2,1.2148891729885
"4843...3311","calibration","carbon",0.100000001,0.300323231733852
"3134","calibration","carbon",1.25585475732549,1.1954818365327
"3642...3313","calibration","carbon",2.0999999,1.55402175108965
"6227...3314","calibration","carbon",0.100000001,0.158659126239302
"6713...3315","calibration","carbon",0.200000003,0.302413323578701
"3075","calibration","carbon",3.4706680994627,3.64718776929888
"3608...3317","calibration","carbon",1.89999998,2.08329698323729
"3632...3318","calibration","carbon",2.9000001,3.05440509569933
"5231...3319","calibration","carbon",3.20000005,3.94655734070046
"6783...3320","calibration","carbon",0.400000006,0.547350634231908
"2856","calibration","carbon",0.328207266824822,0.397328148607467
"4867...3322","calibration","carbon",2.29999995,2.18220753118172
"6730...3323","calibration","carbon",3.5,3.80347302594819
"3594...3324","calibration","carbon",11.8999996,4.18357048638408
"8264...3325","calibration","carbon",0.469999999,0.471429456394723
"6880...3326","calibration","carbon",0.439999998,0.545558567322432
"6712...3327","calibration","carbon",0.400000006,0.487415605061108
"3658...3328","calibration","carbon",0.600000024,0.361465395695298
"3303","calibration","carbon",0.670772830350576,0.776828488295186
"2776","calibration","carbon",6.18750340501792,5.56364563413092
"2848","calibration","carbon",0.575606132527085,0.520555376095641
"5725...3332","calibration","carbon",1,1.22217515742577
"3957...3333","calibration","carbon",13.6000004,11.9588060044845
"3851...3334","calibration","carbon",0.300000012,0.51871686622582
"4803...3335","calibration","carbon",1.29999995,1.31823586740445
"5891...3336","calibration","carbon",7,6.81625964397525
"5674...3337","calibration","carbon",1.10000002,0.679191850599374
"3870...3338","calibration","carbon",3.20000005,3.07360753346273
"4744...3339","calibration","carbon",0.800000012,0.927264732009979
"6587...3340","calibration","carbon",5.4000001,5.15862775259065
"6098...3341","calibration","carbon",1.10000002,1.19786472327349
"3651...3342","calibration","carbon",0.800000012,0.904522119238755
"3716...3343","calibration","carbon",1.39999998,0.849020908712349
"6186...3344","calibration","carbon",0.200000003,0.438979694064467
"5583...3345","calibration","carbon",1,1.16593856151963
"4742...3346","calibration","carbon",1,1.20134243836993
"4334...3347","calibration","carbon",9,8.21958764167451
"4652...3348","calibration","carbon",7.9000001,9.19853499993244
