,lower,upper,pred,obs,type,variable
2370,35.50275,71.48247,53.492607,47.0, Calibration,P retention
2371,5.9049797,13.821911,9.863445,6.0, Calibration,P retention
2372,32.13309,64.36388,48.24848,42.0, Calibration,P retention
2373,23.411606,48.539246,35.975426,34.0, Calibration,P retention
2374,14.848835,29.32069,22.084763,16.0, Calibration,P retention
2375,26.239613,52.197666,39.21864,47.0, Calibration,P retention
2376,26.808159,54.747025,40.77759,72.0, Calibration,P retention
2377,15.125494,30.950777,23.038136,28.0, Calibration,P retention
2378,49.928154,98.230156,74.079155,86.0, Calibration,P retention
2379,3.1168866,-0.0917567,-1.6043216,0.01, Calibration,P retention
2380,18.307434,36.193287,27.25036,33.0, Calibration,P retention
2381,19.343466,39.52755,29.435509,23.0, Calibration,P retention
2382,26.720356,53.67307,40.196712,46.0, Calibration,P retention
2383,33.10555,66.219894,49.66272,44.0, Calibration,P retention
2384,8.031832,16.37849,12.205161,12.0, Calibration,P retention
2385,29.22776,59.787033,44.507397,50.0, Calibration,P retention
2386,12.360952,24.2606,18.310776,21.0, Calibration,P retention
2387,62.681534,124.509476,93.595505,99.0, Calibration,P retention
2388,30.473606,61.062244,45.767925,49.0, Calibration,P retention
2389,15.133463,31.46681,23.300137,27.0, Calibration,P retention
2390,28.89529,56.889202,42.892246,43.0, Calibration,P retention
2391,20.189396,40.1705,30.179949,27.0, Calibration,P retention
2392,17.549831,35.111877,26.330854,21.0, Calibration,P retention
2393,24.254023,48.759537,36.50678,33.0, Calibration,P retention
2394,38.3907,78.423294,58.406998,73.0, Calibration,P retention
2395,18.139856,36.06317,27.101513,34.0, Calibration,P retention
2396,15.926109,32.53795,24.232029,20.0, Calibration,P retention
2397,37.054905,74.30284,55.67887,83.0, Calibration,P retention
2398,17.906713,37.300613,27.603664,40.0, Calibration,P retention
2399,3.9166949,9.234619,6.575657,6.0, Calibration,P retention
2400,20.057407,40.132164,30.094786,26.0, Calibration,P retention
2401,35.712276,69.9124,52.81234,56.0, Calibration,P retention
2402,48.647156,96.118164,72.38266,76.0, Calibration,P retention
2403,50.028214,99.33223,74.68022,76.0, Calibration,P retention
2404,28.100485,55.339607,41.720047,39.0, Calibration,P retention
2405,11.53442,23.244785,17.389603,18.0, Calibration,P retention
2406,8.011144,16.529465,12.270304,12.0, Calibration,P retention
2407,17.041794,35.60032,26.321056,12.0, Calibration,P retention
2408,17.919506,35.34647,26.632988,30.0, Calibration,P retention
2409,54.542137,108.638954,81.590546,87.0, Calibration,P retention
2410,19.736404,39.793037,29.76472,39.0, Calibration,P retention
2411,9.575466,19.703579,14.639523,13.0, Calibration,P retention
2412,8.115059,17.808132,12.961596,7.0, Calibration,P retention
2413,13.018755,25.854269,19.436512,21.0, Calibration,P retention
2414,22.002174,43.917473,32.959824,33.0, Calibration,P retention
2415,30.002935,60.05716,45.03005,43.0, Calibration,P retention
2416,31.693676,62.357037,47.025356,43.0, Calibration,P retention
2417,4.0852757,9.414745,6.7500105,21.0, Calibration,P retention
2418,12.792505,25.734827,19.263666,13.0, Calibration,P retention
2419,45.00466,89.867744,67.4362,69.0, Calibration,P retention
2420,1.4036168,1.8128363,0.20460972,0.01, Calibration,P retention
2421,16.283289,31.840147,24.061718,23.897058, Calibration,P retention
2422,26.180298,53.214867,39.697582,37.0, Calibration,P retention
2423,10.128558,20.765759,15.447158,7.0, Calibration,P retention
2424,40.095287,80.86452,60.479904,68.0, Calibration,P retention
2425,2.2008803,6.230132,4.215506,6.0, Calibration,P retention
2426,20.88118,43.578583,32.22988,15.0, Calibration,P retention
2427,47.483967,94.245575,70.86477,79.0, Calibration,P retention
2428,18.224163,35.54862,26.88639,27.16472, Calibration,P retention
2429,52.896187,105.56519,79.23069,90.0, Calibration,P retention
2430,57.901306,115.04352,86.47241,96.0, Calibration,P retention
2431,6.346654,13.764789,10.055721,15.0, Calibration,P retention
2432,27.418385,54.04282,40.730602,39.0, Calibration,P retention
