,lower,upper,pred,obs,type,variable
2788,4.1564784,9.019976,6.588227,8.2, Calibration,carbon
2789,1.6004884,3.5100963,2.5552924,2.8099163, Calibration,carbon
2790,0.19449905,0.8630909,0.3342959,0.23, Calibration,carbon
2791,0.32472122,1.4103658,0.8675435,0.9, Calibration,carbon
2792,0.91310054,2.2618346,1.5874676,2.2, Calibration,carbon
2793,0.09892419,0.9514351,0.42625543,0.3, Calibration,carbon
2794,2.7147832,5.8351874,4.2749853,11.9, Calibration,carbon
2795,0.042077005,1.0921819,0.5671295,0.5, Calibration,carbon
2796,0.07240042,0.97632825,0.45196393,0.47022957, Calibration,carbon
2797,1.7371042,3.78181,2.759457,3.3, Calibration,carbon
2798,1.4262879,3.1722472,2.2992675,2.43, Calibration,carbon
2799,2.0439568,4.411749,3.2278528,3.6, Calibration,carbon
2800,0.46629363,1.591136,1.0287148,0.56, Calibration,carbon
2801,1.6308542,3.5707612,2.6008077,2.925, Calibration,carbon
2802,1.1123415,2.5946045,1.8534731,1.9062865, Calibration,carbon
2803,0.47741252,1.6061575,1.041785,1.02, Calibration,carbon
2804,7.6004157,16.804884,12.20265,18.0, Calibration,carbon
2805,2.0954587,4.517667,3.3065627,3.8, Calibration,carbon
2806,0.3003723,1.3817675,0.84106994,0.7, Calibration,carbon
2807,1.5725596,3.4560206,2.51429,2.515182, Calibration,carbon
2808,3.0043993,6.4674387,4.735919,4.79, Calibration,carbon
2809,1.2765405,2.892627,2.0845838,2.6, Calibration,carbon
2810,3.266551,7.043124,5.1548376,7.3, Calibration,carbon
2811,0.4204085,0.6733053,0.12644838,0.01, Calibration,carbon
2812,0.6509541,1.8478209,1.2493875,1.3, Calibration,carbon
2813,0.5143279,1.6556898,1.0850089,1.0198338, Calibration,carbon
2814,0.32707572,0.7484013,0.21066278,0.3, Calibration,carbon
2815,0.34194934,0.73654556,0.1972981,0.09, Calibration,carbon
2816,2.6994615,5.805406,4.252434,4.3, Calibration,carbon
2817,0.99298525,2.3885565,1.6907709,1.637, Calibration,carbon
2818,0.13437793,0.9178026,0.39171234,0.24, Calibration,carbon
2819,0.24124736,1.3121772,0.7767123,0.6084962, Calibration,carbon
2820,0.07286024,1.1249343,0.5988973,0.6, Calibration,carbon
2821,1.1454868,2.6536713,1.899579,1.7, Calibration,carbon
2822,1.1873847,2.7284207,1.9579028,2.002884, Calibration,carbon
2823,0.056307375,1.1068735,0.5815904,0.5, Calibration,carbon
2824,12.498636,27.971395,20.235016,25.0, Calibration,carbon
2825,0.08200464,0.9665948,0.4422951,0.27, Calibration,carbon
2826,0.82251763,2.1095793,1.4660485,1.4476066, Calibration,carbon
2827,2.8429837,6.114186,4.478585,4.1, Calibration,carbon
2828,0.39539748,1.4998913,0.9476444,1.8, Calibration,carbon
2829,2.680504,5.7639513,4.2222276,4.5, Calibration,carbon
2830,0.17997903,0.8756508,0.3478359,0.1, Calibration,carbon
2831,1.386077,3.0957885,2.2409327,2.58, Calibration,carbon
2832,0.58944386,1.7606602,1.175052,1.4, Calibration,carbon
2833,0.8145904,2.0958748,1.4552326,1.3, Calibration,carbon
2834,0.4516148,1.571578,1.0115964,0.87, Calibration,carbon
2835,2.1999588,4.7363925,3.4681756,4.17, Calibration,carbon
2836,0.47676808,1.6044805,1.0406243,0.6, Calibration,carbon
2837,0.30227962,0.7687632,0.23324177,0.1, Calibration,carbon
2838,0.001157105,1.056325,0.52874106,1.5, Calibration,carbon
2839,2.934338,6.319773,4.6270556,6.2, Calibration,carbon
2840,1.9628654,4.2430596,3.1029625,4.1, Calibration,carbon
2841,0.1971347,0.86075974,0.33181253,0.2, Calibration,carbon
2842,2.189916,4.7151756,3.4525456,4.0008802, Calibration,carbon
2843,1.2189667,2.7861693,2.002568,2.4, Calibration,carbon
2844,0.69753623,1.9158983,1.3067173,1.1, Calibration,carbon
2845,1.0458279,2.4787953,1.7623116,2.0, Calibration,carbon
2846,2.3577456,5.072824,3.7152848,4.6094513, Calibration,carbon
2847,1.361977,3.0501752,2.2060761,2.49, Calibration,carbon
2848,0.08601919,0.96370316,0.43884197,0.19, Calibration,carbon
2849,0.16395968,0.89019567,0.363118,0.2, Calibration,carbon
2850,6.0655937,13.322006,9.6938,11.4, Calibration,carbon
2851,2.6030943,5.595665,4.0993795,4.4, Calibration,carbon
2852,2.4724212,5.3181643,3.8952928,4.047923, Calibration,carbon
2853,4.003044,8.676822,6.339933,7.9, Calibration,carbon
2854,3.9433136,8.544888,6.2441006,0.8, Calibration,carbon
2855,0.9514449,2.3177805,1.6346127,1.7769672, Calibration,carbon
2856,0.6458979,1.8406298,1.2432638,1.4, Calibration,carbon
2857,0.4104841,0.6809062,0.13521102,0.07, Calibration,carbon
2858,0.35082883,1.444104,0.8974664,1.0, Calibration,carbon
2859,1.4763172,3.268635,2.372476,2.43, Calibration,carbon
2860,1.5367954,3.3854249,2.46111,2.56, Calibration,carbon
2861,0.4581896,1.579137,1.0186633,0.5, Calibration,carbon
2862,0.29834163,1.3791411,0.83874136,0.62, Calibration,carbon
2863,0.09992272,1.1540527,0.6269877,0.5, Calibration,carbon
2864,0.90990525,2.2502346,1.5800699,1.5786272, Calibration,carbon
2865,2.624692,5.644391,4.1345415,4.2262044, Calibration,carbon
2866,1.2316444,2.8087413,2.0201929,2.04, Calibration,carbon
