,upper,lower,pred,obs,type,variable
19093,4.495665676,0.039898044,2.2278838,2.1, Calibration,carbon
19096,4.885224645,0.337260897,2.6112428,2.72, Calibration,carbon
19099,2.738077532,0.104291786,1.4211847,1.7, Calibration,carbon
19102,1.433825146,0.117296327,0.77556074,0.5756061, Calibration,carbon
19105,1.652561152,0.199383414,0.9259723,1.0604653, Calibration,carbon
19110,15.92521441,0.760259274,7.5824776,8.4, Calibration,carbon
19112,8.650076161,0.023233165,4.3366547,4.7, Calibration,carbon
19114,1.479049014,0.15115626,0.81510264,1.05, Calibration,carbon
19118,6.532062086,0.097238985,3.3146505,3.6, Calibration,carbon
19121,10.0183519,0.144676549,4.9368377,5.6, Calibration,carbon
19123,1.981077267,0.189188884,1.0851331,1.2, Calibration,carbon
19127,4.985487788,0.214297444,2.5998926,2.73, Calibration,carbon
19129,1.433825146,0.117296327,0.77556074,0.85, Calibration,carbon
19132,2.052351077,0.220237652,1.1362944,1.3808316, Calibration,carbon
19135,1.433825146,0.117296327,0.77556074,0.23056339, Calibration,carbon
19139,9.030295453,0.254282079,4.3880067,4.2220783, Calibration,carbon
19142,19.29288719,1.080664137,9.106112,10.8, Calibration,carbon
19144,6.04247595,0.214647997,3.128562,3.308, Calibration,carbon
19147,2.87195171,0.247669329,1.5598105,1.6, Calibration,carbon
19150,3.734805542,0.226372761,1.9805892,2.15, Calibration,carbon
19153,3.801338193,0.086409333,1.9438738,2.3, Calibration,carbon
19156,1.674544932,0.044044493,0.8592947,1, Calibration,carbon
19159,3.591221796,0.318581118,1.9549015,2.07, Calibration,carbon
19162,1.433825146,0.117296327,0.77556074,0.76, Calibration,carbon
19166,8.555159924,0.057890294,4.248635,4.6, Calibration,carbon
19168,4.044471158,0.100073443,2.0722723,2.1, Calibration,carbon
19171,4.747652841,0.273795294,2.510724,2.42, Calibration,carbon
19175,16.98087371,0.875746377,8.052564,9.8, Calibration,carbon
19178,21.36451763,1.250399058,10.057059,10.4, Calibration,carbon
19180,1.538374345,0.185987671,0.862181,0.8595446, Calibration,carbon
19184,11.10930372,0.242700818,5.4333014,5.6185026, Calibration,carbon
19186,5.750541391,0.257683574,3.0041125,3.1, Calibration,carbon
19190,30.79664695,2.164267421,14.31619,14.8, Calibration,carbon
19192,1.433825146,0.117296327,0.77556074,0.80989116, Calibration,carbon
19195,1.433825146,0.117296327,0.77556074,0.09, Calibration,carbon
19198,1.433825146,0.117296327,0.77556074,0.09, Calibration,carbon
19201,1.433825146,0.117296327,0.77556074,0.09, Calibration,carbon
19204,1.433825146,0.117296327,0.77556074,0.09, Calibration,carbon
19208,21.65077227,1.426489054,10.112142,11.7, Calibration,carbon
19210,1.517702084,0.16778757,0.8427448,1.01, Calibration,carbon
19213,4.710200089,0.321313125,2.5157566,2.85, Calibration,carbon
19216,2.681413165,0.246897706,1.4641554,1.43, Calibration,carbon
19220,8.998177272,0.032487613,4.482845,4.25, Calibration,carbon
19222,3.74352336,0.24621272,1.994868,2.2, Calibration,carbon
19225,4.159779762,0.169170166,2.164475,2.3, Calibration,carbon
19228,3.452347722,0.124509845,1.7884288,1.9, Calibration,carbon
19231,1.433825146,0.117296327,0.77556074,3.3, Calibration,carbon
19234,5.98094478,0.035132555,2.972906,3.9, Calibration,carbon
19238,18.79628183,0.96850587,8.913888,9.1, Calibration,carbon
19240,2.255680827,0.234510871,1.2450958,1.4, Calibration,carbon
19243,3.767984242,0.217888503,1.9929364,2.0960126, Calibration,carbon
19246,2.591166858,0.211244698,1.4012058,1.556231, Calibration,carbon
19249,3.28305784,0.010240467,1.6364087,1.7, Calibration,carbon
19252,5.433625794,0.214527988,2.824077,3.09, Calibration,carbon
19256,10.29813598,0.436462628,4.9308367,4.9906125, Calibration,carbon
19258,3.863728753,0.265025386,2.064377,2.1285288, Calibration,carbon
19261,2.051570888,0.227574114,1.1395725,1.3961606, Calibration,carbon
19264,5.202580148,0.249844855,2.7262125,2.79, Calibration,carbon
19268,13.16536532,0.34030924,6.412528,8.2, Calibration,carbon
19270,5.128630781,0.221918917,2.6752748,2.8099163, Calibration,carbon
19273,4.066363055,0.016801637,2.0415823,2.2, Calibration,carbon
19278,23.15889285,1.982396344,10.588248,11.9, Calibration,carbon
19279,1.433825146,0.117296327,0.77556074,0.47022957, Calibration,carbon
19282,6.023102928,0.214200329,3.1186516,3.3, Calibration,carbon
19285,4.514074911,0.279189002,2.396632,2.43, Calibration,carbon
19288,6.207082217,0.255082662,3.2310824,3.6, Calibration,carbon
19291,1.461007907,0.1398118,0.80040985,0.56, Calibration,carbon
19294,5.500298603,0.26222171,2.8812602,2.925, Calibration,carbon
19297,3.504144976,0.261934926,1.88304,1.9062865, Calibration,carbon
19300,1.534450615,0.186871206,0.8606609,1.02, Calibration,carbon
19304,37.88699573,2.836271705,17.525362,18, Calibration,carbon
19307,7.111677284,0.168066387,3.6398718,3.8, Calibration,carbon
19309,4.52179545,0.276486696,2.399141,2.515182, Calibration,carbon
