,lower,upper,pred,obs,type,variable
1100,27.412949,58.987198,43.200073,37.68, Calibration,clay
1101,18.058487,45.452362,31.755424,36.13, Calibration,clay
1102,20.214481,49.95937,35.086926,29.0, Calibration,clay
1103,21.541445,50.44805,35.994747,35.0, Calibration,clay
1104,21.003927,49.04757,35.02575,26.97, Calibration,clay
1105,8.12464,26.763428,17.444035,37.0, Calibration,clay
1106,4.657377,19.485218,12.071298,13.0, Calibration,clay
1107,18.428556,47.920555,33.174557,34.43, Calibration,clay
1108,42.4601,74.62353,58.541813,59.66, Calibration,clay
1109,15.613818,41.09759,28.355705,29.0, Calibration,clay
1110,6.2230797,22.899296,14.561188,4.0, Calibration,clay
1111,13.144903,36.59352,24.869211,21.0, Calibration,clay
1112,19.342392,49.097466,34.21993,41.78, Calibration,clay
1113,1.1901879,8.523712,4.85695,3.71, Calibration,clay
1114,8.683536,28.630276,18.656906,16.0, Calibration,clay
1115,17.92889,46.469303,32.199097,44.37, Calibration,clay
1116,10.270642,30.777348,20.523994,18.0, Calibration,clay
1117,18.731094,48.06746,33.399277,45.84, Calibration,clay
1118,6.509123,23.974335,15.241729,13.0, Calibration,clay
1119,12.585371,35.973366,24.27937,25.0, Calibration,clay
1120,7.397707,26.116583,16.757145,16.0, Calibration,clay
1121,8.23742,27.855385,18.046402,11.53, Calibration,clay
1122,19.513287,48.31705,33.91517,35.0, Calibration,clay
1123,5.790062,21.85319,13.821626,13.0, Calibration,clay
1124,13.66339,40.536514,27.099953,38.0, Calibration,clay
1125,9.764285,30.013107,19.888697,32.64, Calibration,clay
1126,9.2315855,29.963615,19.5976,28.96, Calibration,clay
1127,1.1523335,7.828802,4.4905677,9.29, Calibration,clay
1128,19.714771,48.564625,34.139698,41.0, Calibration,clay
1129,11.638075,34.031235,22.834654,22.0, Calibration,clay
1130,20.458012,49.28246,34.870235,30.0, Calibration,clay
1131,3.1707454,13.81517,8.492958,0.01, Calibration,clay
1132,13.471456,38.387657,25.929556,20.15, Calibration,clay
