"","type","variable","obs","pred","lower","upper"
"1","validation","carbon",0.699999988,0.791360737158191,0.748943962032567,0.821184001645153
"2","validation","carbon",1.6,1.47658630226668,1.41614688140585,1.53553485504734
"3","validation","carbon",2.79999995,2.18816048817257,2.10656023285256,2.31619914412161
"4","validation","carbon",0.300000012,0.461482736348401,0.434545589075548,0.512143378836072
"5","validation","carbon",2.2,2.25824179537164,2.17252964195921,2.32123504098813
"6","validation","carbon",2.76,2.74362620805803,2.6906424256744,2.77554652366701
"7","validation","carbon",0.643857687341772,0.625765565735857,0.583517013542916,0.661767523017131
"8","validation","carbon",1.2,1.70118078162432,1.63549517013463,1.83183255534687
"9","validation","carbon",2.74,2.99786723346181,2.95325905100366,3.07289318243418
"10","validation","carbon",0.360458754222973,0.20998941816803,0.187270425275982,0.227979806247945
"11","validation","carbon",0.24,0.126492198559834,0.109748227797924,0.164697179655397
"12","validation","carbon",1.766,1.99046946404922,1.9448378856842,2.0186244524293
"13","validation","carbon",1.70000005,1.62318576811783,1.54379245642967,1.73694560229536
"14","validation","carbon",0.300000012,0.271581912137442,0.202914610423955,0.319153294510354
"15","validation","carbon",0.400000006,0.380827165987081,0.334278055391417,0.431486053186783
"16","validation","carbon",1,0.910395502871207,0.836518142198624,1.0002606646622
"17","validation","carbon",1.33931731315043,1.43649763027045,1.3854543094898,1.46993646376624
"18","validation","carbon",3.47,3.66562865511965,3.58386851643089,3.68811228877358
"19","validation","carbon",8.19999981,7.76632940986778,7.61848284410699,8.07405957978622
"20","validation","carbon",3.9,3.57215894257611,3.44480170448501,3.62181982148635
"21","validation","carbon",0.200000003,0.252708735095082,0.23208610071397,0.286036701422537
"22","validation","carbon",2.70000005,2.65595823289872,2.57652078470536,2.76678835252294
"23","validation","carbon",42,44.0609285006093,42.9739136715285,44.6736566075222
"24","validation","carbon",0.300000012,0.300737617820522,0.274744427444936,0.329717955156112
"25","validation","carbon",6.4,5.80176039404083,5.57348045192346,6.08175498614805
"26","validation","carbon",14.6999998,13.632703266446,12.9464008542381,14.3031536878582
"27","validation","carbon",4.4000001,3.49408047498266,3.2843284403725,3.80667632652941
"28","validation","carbon",7.80000019,6.91616884098561,6.33558404240916,7.52982255112408
"29","validation","carbon",0.61,0.494077826006096,0.430321179423887,0.535963714904331
"30","validation","carbon",1.10000002,0.217391145050085,0.206807228199604,0.27310855688197
"31","validation","carbon",1.0897901338674,1.03141621355543,0.981375459420737,1.07662613777705
"32","validation","carbon",0.300000012,0.252716893854916,0.237251047016908,0.276040012588582
"33","validation","carbon",3.5,3.24793838468055,3.01836952343664,3.52666581479108
"34","validation","carbon",0.300000012,0.241289867202206,0.216389345830793,0.258916643763171
"35","validation","carbon",3.5,3.28557480245303,3.17461945891287,3.31701973104201
"36","validation","carbon",2.57,2.63019000912862,2.57241043577554,2.67744496270859
"37","validation","carbon",0.14,0.204823642740462,0.184681967165042,0.235301573171702
"38","validation","carbon",5.5999999,6.02861490066524,5.83489503043634,6.1796679539874
"39","validation","carbon",0.300000012,0.386772515815652,0.342000114046717,0.412522504984036
"40","validation","carbon",5,4.32251551965076,4.2202886876072,4.46650055373651
"41","validation","carbon",4.69999981,5.11335461682568,5.03193659181504,5.19620401035957
"42","validation","carbon",2.62,2.50221095776826,2.45636662357021,2.56563271446548
"43","validation","carbon",3.4000001,3.67155113657036,3.52586192908932,3.6994002259797
"44","validation","carbon",3.79999995,3.49325817140714,3.37129649463252,3.57525964879724
"45","validation","carbon",3.20000005,1.8613126115281,1.47389941097646,2.22002958616035
"46","validation","carbon",0.519999981,0.495332062459955,0.465952482010986,0.522947886506502
"47","validation","carbon",6.5,5.93856165101157,5.60845865734072,6.21799499064746
"48","validation","carbon",0.200000003,0.23179633684285,0.206735019876365,0.253763077285858
"49","validation","carbon",1.16,1.21182348890347,1.16755711899376,1.28381158343535
"50","validation","carbon",2.79999995,2.87351873658706,2.70446589204402,2.99357498772935
"51","validation","carbon",2.84,3.0106517818036,2.92813637526536,3.10578082979199
"52","validation","carbon",2.20000005,3.53749107958117,3.33433862004839,3.78960708343888
"53","validation","carbon",2.555,2.44393935663601,2.398282522998,2.48538948529225
"54","validation","carbon",1,0.931304679057793,0.861414287257368,1.00700377054815
"55","validation","carbon",0.600000024,0.641111270225663,0.608223990110344,0.646515412553514
"56","validation","carbon",0.289999992,0.307354384048677,0.280351400143967,0.326837340796368
"57","validation","carbon",2.91,2.97767626609672,2.9186532317041,3.03255557371786
"58","validation","carbon",1.22,1.28209960937464,1.24163920651535,1.31366806886809
"59","validation","carbon",1.02,1.06936842037641,1.02967457862252,1.10751890369593
"60","validation","carbon",4.179,4.00182626397636,3.89599164926987,4.13556000690137
"61","validation","carbon",0.100000001,0.213410967468695,0.167582746569384,0.251854365643145
"62","validation","carbon",3.5,3.95578651647388,3.78448919379072,4.03033453756871
"63","validation","carbon",4.5999999,6.54415512449536,5.91326936157591,7.33309754597891
"64","validation","carbon",0.92,0.787454631489291,0.764198476570296,0.813864058528863
"65","validation","carbon",0.54,0.522879585400436,0.496992760682957,0.547070697491072
"66","validation","carbon",4.69999981,4.48531218646191,4.33155012314774,4.55262522472288
"67","validation","carbon",6.5999999,5.50961589473241,5.03667216018238,5.9508150447888
"68","validation","carbon",1,1.02002875103041,0.939803750642988,1.10092419284495
"69","validation","carbon",10.3999996,4.88447010155812,4.79418193426967,5.12786025611938
"70","validation","carbon",2.5999999,3.2800353544336,3.05009723396877,3.45355494099581
"71","validation","carbon",1.20000005,1.11177277987138,0.996799148216797,1.20632664529997
"72","validation","carbon",4.19999981,5.05832308566476,4.80366221340332,5.37901665542183
"73","validation","carbon",10.5,11.4828092653389,11.1293369013885,11.7364540859339
"74","validation","carbon",3.9000001,3.50665462012958,3.40093384812859,3.59443390137371
"75","validation","carbon",1.38571984790875,1.1721046745909,1.05783160715865,1.24128527913198
"76","validation","carbon",1.89999998,1.91430021179679,1.83845770051834,1.99809133725727
"77","validation","carbon",2.365,3.30492417904727,3.14900355422787,3.48587767333199
"78","validation","carbon",1,1.13057829411051,0.981949912854135,1.24928425761985
"79","validation","carbon",47.7999992,38.2537714515588,35.9511136370581,40.4897260255618
"80","validation","carbon",0.40140020649306,0.473795445943142,0.453124436886038,0.51463688410036
"81","validation","carbon",2.37,2.60141776283661,2.54183873762522,2.66984636662446
"82","validation","carbon",1.79999995,1.44129716919371,1.40093831387659,1.58924845726577
"83","validation","carbon",0.400000006,0.368499523476675,0.349348394687072,0.393641602919231
"84","validation","carbon",0.21,0.141575110921793,0.102531091759489,0.166091640211743
"85","validation","carbon",7.89,7.82594288689987,7.73259957383788,8.02925876763903
"86","validation","carbon",0.800000012,1.14190946535183,1.06770541282853,1.19043082820054
"87","validation","carbon",0.617739611244777,0.491089537544628,0.455134926627034,0.500551545577127
"88","validation","carbon",4.19999981,3.63433622227327,3.47071484695041,3.78391558913401
"89","validation","carbon",4.5,4.46323568265423,4.22895833921035,4.59360054695746
"90","validation","carbon",1.2,1.31244546468511,1.26854318791793,1.36389181257843
"91","validation","carbon",3.29999995,4.43904333331259,4.33925789893378,4.57823869763441
"92","validation","carbon",3.6,3.54331892208663,3.44288832386634,3.62931114467391
"93","validation","carbon",0.899999976,0.914290785745107,0.841261724791518,1.0681195365567
"94","validation","carbon",0.529999971,0.563868426246533,0.522125397832743,0.594993740515808
"95","validation","carbon",3.0999999,2.67291396174749,2.58033643644799,2.87448625850485
"96","validation","carbon",2.18,2.58530828216187,2.55542375850386,2.61898074883229
"97","validation","carbon",0.514190237396639,0.500225622652569,0.462637371869949,0.603308175467741
"98","validation","carbon",2.5,2.2547285797534,2.08105346731091,2.47681136398573
"99","validation","carbon",0.37,0.37537822811975,0.354719295955804,0.389023615502919
"100","validation","carbon",3.0999999,3.05607439222295,2.90843733686632,3.15988614481238
"101","validation","carbon",1.79999995,2.06379189191151,1.98325911323033,2.20593344157729
"102","validation","carbon",0.159999996,0.108091803526821,0.0984773877677045,0.134311464735937
"103","validation","carbon",5.30000019,5.29883104004126,5.04395917841028,5.37448188645598
"104","validation","carbon",6.69999981,6.14771723300744,5.94602946674175,6.31965633397068
"105","validation","carbon",2.5,2.45146867021956,2.18477358132073,2.62802993021719
"106","validation","carbon",2.72820393770857,2.3646573278287,2.24454436805777,2.4691432005964
"107","validation","carbon",0.200000003,0.255685319071089,0.232861379515277,0.277761984574622
"108","validation","carbon",0.200000003,0.237463136835806,0.16317856930625,0.34414092400995
"109","validation","carbon",5.81018602642805,7.51879064150503,7.38484877221845,7.83474973528669
"110","validation","carbon",0.100000001,0.1842169375481,0.119087111524648,0.221824219483006
"111","validation","carbon",0.400000006,1.06345339137589,0.861817640775016,1.27171271169242
"112","validation","carbon",8.60000038,8.74749556106476,8.67096235971583,9.08241650560732
"113","validation","carbon",0.453535064907427,0.578651655985397,0.536999044864082,0.644745070735644
"114","validation","carbon",1.79999995,1.69895016561141,1.65617102245136,1.77790273582749
"115","validation","carbon",0.349999994,0.791994792439688,0.711358646726113,0.907881500081881
"116","validation","carbon",1.39999998,1.37610201081298,1.33141807715158,1.44422899815462
"117","validation","carbon",2.0999999,2.14444899529344,2.08950082092139,2.20151895378818
"118","validation","carbon",6.4000001,6.40868104497761,6.00896305093554,6.92544922504731
"119","validation","carbon",2,2.0045509428997,1.92514658148482,2.08049242340153
"120","validation","carbon",0.33,0.230815548452387,0.211341476930434,0.242247897356975
"121","validation","carbon",0.200000003,0.335464205088161,0.254654344478897,0.389841151196427
"122","validation","carbon",6.0999999,4.77637755759113,4.42826267653296,4.96198408612212
"123","validation","carbon",2.4000001,2.4949371919106,2.47083234170186,2.62549133693448
"124","validation","carbon",0.200252121747916,0.195421913697614,0.175663544943484,0.212036157389043
"125","validation","carbon",1.10000002,1.06148085025516,1.043596001368,1.11850550334661
"126","validation","carbon",1.20000005,1.41827272416212,1.33573427202307,1.62833622266397
"127","validation","carbon",2.5,2.20697567573418,2.08724161554766,2.35533437272914
"128","validation","carbon",0.699999988,0.660271214322889,0.596500433230168,0.765561218527396
"129","validation","carbon",1.79999995,1.81518331250975,1.72301228546303,1.88499368548097
"130","validation","carbon",2.53,2.54799113498607,2.48348015334058,2.62350750217158
"131","validation","carbon",5.5999999,5.26368971996582,5.11351991107089,5.40909670300451
"132","validation","carbon",0.5,0.289417299598278,0.266353195089673,0.369538193691009
"133","validation","carbon",1.5,2.95792053929517,2.66544617323473,3.3857149554011
"134","validation","carbon",3.5,4.63873923041966,4.41647501862007,4.89737888437319
"135","validation","carbon",0.71,0.68681515016938,0.666368518042563,0.732609509778806
"136","validation","carbon",4.5999999,5.08126722069857,4.9811893394829,5.31532772592564
"137","validation","carbon",1,0.789266104073704,0.749134416285464,0.854639222033568
"138","validation","carbon",2.54394050279329,2.36327872783084,2.28277549191246,2.39918501269222
"139","validation","carbon",2.5999999,2.89680697420958,2.66070935414476,3.01998382382972
"140","validation","carbon",2.67,2.67984521767405,2.64341464643313,2.72861026824304
"141","validation","carbon",0.300000012,0.282009691447315,0.269207152345085,0.35377997853318
"142","validation","carbon",1.60000002,1.47023739421795,1.37651154510639,1.54967750539557
"143","validation","carbon",0.699999988,0.586188857586004,0.483073105470493,0.718104519555284
"144","validation","carbon",0.600000024,0.623986986966119,0.599307433077494,0.698422381441194
"145","validation","carbon",2.20000005,2.19439381159431,2.11540879682884,2.25227635073902
"146","validation","carbon",5.19999981,5.78064175045025,5.31321626213252,5.99230516850394
"147","validation","carbon",1.39999998,1.40610353311263,1.31589322214842,1.47148459110893
"148","validation","carbon",1,1.00011004479689,0.902719077415168,1.13698924891933
"149","validation","carbon",0.78,0.788400918831515,0.762360660574289,0.82431176326673
"150","validation","carbon",1.10000002,1.89447492379753,1.76330616231535,2.14350949347727
"151","validation","carbon",0.699999988,0.62778662210092,0.613558982657599,0.647096468010542
"152","validation","carbon",6.9000001,5.76871524769505,5.34822973919541,5.94974183115679
"153","validation","carbon",0.600000024,0.574305371964728,0.505233073987158,0.605205655888978
"154","validation","carbon",0.2,0.28709279875356,0.244725524528662,0.307439240730219
"155","validation","carbon",2.32567521331507,2.38395136347849,2.27949787492613,2.43696607577429
"156","validation","carbon",0.200000003,0.310772251221079,0.215244356870958,0.372806764657054
"157","validation","carbon",0.464844877566707,0.44126805274903,0.395795831544659,0.472227381378295
"158","validation","carbon",1.5,1.49601148919028,1.46456487494693,1.56126726919309
"159","validation","carbon",1.96,1.91097550114255,1.81916704012757,1.97908002873496
"160","validation","carbon",4.80000019,4.89503311043847,4.73455947839907,5.03128265430575
"161","validation","carbon",0.5,0.497806647244904,0.445751739869,0.550498732176453
"162","validation","carbon",0.27,0.22678634754797,0.214953605204057,0.25560564326606
"163","validation","carbon",0.400000006,0.555009252502239,0.535538867969446,0.601239926786506
"164","validation","carbon",1.20000005,0.992128758850863,0.913726209461407,1.10627666210042
"165","validation","carbon",0.200000003,0.215316843181551,0.197314491934622,0.260320913391258
"166","validation","carbon",0.300000012,0.318427860999407,0.283937337840235,0.34751571759191
"167","validation","carbon",4.0999999,3.35893011318308,3.17796846064162,3.4974720127418
"168","validation","carbon",0.5,0.45980868517646,0.422920050269915,0.485102949992016
"169","validation","carbon",0.899999976,1.10725692519838,1.03155748618048,1.16198672084923
"170","validation","carbon",3.79999995,3.69003502943737,3.53986202926454,3.77322232439634
"171","validation","carbon",3.492,3.3774044447613,3.34111091182049,3.42067184847641
"172","validation","carbon",2.43,2.61513547202096,2.55029391180492,2.65412308505168
